id,PassengerId,Mortos,Sexo
353,354,0,male
354,355,0,male
355,356,0,male
357,358,0,female
360,361,0,male
361,362,0,male
362,363,0,female
363,364,0,male
364,365,0,male
365,366,0,male
371,372,0,male
372,373,0,male
373,374,0,male
374,375,0,female
377,378,0,male
378,379,0,male
379,380,0,male
382,383,0,male
384,385,0,male
385,386,0,male
386,387,0,male
388,389,0,male
392,393,0,male
395,396,0,male
396,397,0,female
397,398,0,male
398,399,0,male
401,402,0,male
402,403,0,female
403,404,0,male
404,405,0,female
405,406,0,male
406,407,0,male
408,409,0,male
409,410,0,female
410,411,0,male
411,412,0,male
413,414,0,male
415,416,0,female
418,419,0,male
419,420,0,female
420,421,0,male
421,422,0,male
422,423,0,male
423,424,0,female
424,425,0,male
425,426,0,male
428,429,0,male
433,434,0,male
434,435,0,male
436,437,0,female
438,439,0,male
439,440,0,male
441,442,0,male
442,443,0,male
450,451,0,male
451,452,0,male
452,453,0,male
454,455,0,male
456,457,0,male
459,460,0,male
461,462,0,male
462,463,0,male
463,464,0,male
464,465,0,male
465,466,0,male
466,467,0,male
467,468,0,male
468,469,0,male
470,471,0,male
471,472,0,male
474,475,0,female
475,476,0,male
476,477,0,male
477,478,0,male
478,479,0,male
480,481,0,male
481,482,0,male
482,483,0,male
485,486,0,female
487,488,0,male
488,489,0,male
490,491,0,male
491,492,0,male
492,493,0,male
493,494,0,male
494,495,0,male
495,496,0,male
497,498,0,male
498,499,0,female
499,500,0,male
500,501,0,male
501,502,0,female
502,503,0,female
503,504,0,female
505,506,0,male
508,509,0,male
511,512,0,male
514,515,0,male
515,516,0,male
517,518,0,male
519,520,0,male
521,522,0,male
522,523,0,male
524,525,0,male
525,526,0,male
527,528,0,male
528,529,0,male
529,530,0,male
531,532,0,male
532,533,0,male
534,535,0,female
536,537,0,male
538,539,0,male
541,542,0,female
542,543,0,female
544,545,0,male
545,546,0,male
548,549,0,male
551,552,0,male
552,553,0,male
555,556,0,male
557,558,0,male
560,561,0,male
561,562,0,male
562,563,0,male
563,564,0,male
564,565,0,female
565,566,0,male
566,567,0,male
567,568,0,female
568,569,0,male
574,575,0,male
575,576,0,male
578,579,0,female
582,583,0,male
583,584,0,male
584,585,0,male
586,587,0,male
588,589,0,male
589,590,0,male
590,591,0,male
592,593,0,male
593,594,0,female
594,595,0,male
595,596,0,male
597,598,0,male
598,599,0,male
601,602,0,male
602,603,0,male
603,604,0,male
605,606,0,male
606,607,0,male
610,611,0,female
611,612,0,male
613,614,0,male
614,615,0,male
616,617,0,male
617,618,0,female
619,620,0,male
620,621,0,male
623,624,0,male
624,625,0,male
625,626,0,male
626,627,0,male
628,629,0,male
629,630,0,male
631,632,0,male
633,634,0,male
634,635,0,female
636,637,0,male
637,638,0,male
638,639,0,female
639,640,0,male
640,641,0,male
642,643,0,female
646,647,0,male
648,649,0,male
650,651,0,male
652,653,0,male
654,655,0,female
655,656,0,male
656,657,0,male
657,658,0,female
658,659,0,male
659,660,0,male
661,662,0,male
662,663,0,male
663,664,0,male
665,666,0,male
666,667,0,male
667,668,0,male
668,669,0,male
671,672,0,male
672,673,0,male
674,675,0,male
675,676,0,male
676,677,0,male
678,679,0,female
680,681,0,female
682,683,0,male
683,684,0,male
684,685,0,male
685,686,0,male
686,687,0,male
687,688,0,male
688,689,0,male
693,694,0,male
694,695,0,male
695,696,0,male
696,697,0,male
698,699,0,male
699,700,0,male
702,703,0,female
703,704,0,male
704,705,0,male
705,706,0,male
711,712,0,male
713,714,0,male
714,715,0,male
715,716,0,male
718,719,0,male
719,720,0,male
721,722,0,male
722,723,0,male
723,724,0,male
725,726,0,male
728,729,0,male
729,730,0,female
731,732,0,male
732,733,0,male
733,734,0,male
734,735,0,male
735,736,0,male
736,737,0,female
738,739,0,male
739,740,0,male
741,742,0,male
743,744,0,male
745,746,0,male
746,747,0,male
748,749,0,male
749,750,0,male
752,753,0,male
753,754,0,male
756,757,0,male
757,758,0,male
758,759,0,male
760,761,0,male
761,762,0,male
764,765,0,male
766,767,0,male
767,768,0,female
768,769,0,male
769,770,0,male
770,771,0,male
771,772,0,male
772,773,0,female
773,774,0,male
775,776,0,male
776,777,0,male
778,779,0,male
782,783,0,male
783,784,0,male
784,785,0,male
785,786,0,male
787,788,0,male
789,790,0,male
790,791,0,male
791,792,0,male
792,793,0,female
793,794,0,male
794,795,0,male
795,796,0,male
798,799,0,male
799,800,0,female
800,801,0,male
805,806,0,male
806,807,0,male
807,808,0,female
808,809,0,male
810,811,0,male
811,812,0,male
812,813,0,male
813,814,0,female
814,815,0,male
815,816,0,male
816,817,0,female
817,818,0,male
818,819,0,male
819,820,0,male
822,823,0,male
824,825,0,male
825,826,0,male
826,827,0,male
832,833,0,male
833,834,0,male
834,835,0,male
836,837,0,male
837,838,0,male
840,841,0,male
841,842,0,male
843,844,0,male
844,845,0,male
845,846,0,male
846,847,0,male
847,848,0,male
848,849,0,male
850,851,0,male
851,852,0,male
852,853,0,female
854,855,0,female
859,860,0,male
860,861,0,male
861,862,0,male
863,864,0,female
864,865,0,male
867,868,0,male
868,869,0,male
870,871,0,male
872,873,0,male
873,874,0,male
876,877,0,male
877,878,0,male
878,879,0,male
881,882,0,male
882,883,0,female
883,884,0,male
884,885,0,male
885,886,0,female
886,887,0,male
888,889,0,female
890,891,0,male
